original_filename,new_filename,equipment_name,amount,confidence
01.png,01_315.png,未知装备,315,0.9583391337707807
02.png,02_180.png,未知装备,180,0.9998413056158804
03.png,03_180.png,未知装备,180,0.9998413056158804
04.png,04.png,victoriansword,,
05.png,05.png,wonderlandaura,,
06.png,06.png,未知装备,,
07.png,07.png,未知装备,,
08.png,08.png,vikinghelm,,
09.png,09.png,未知装备,,
10.png,10.png,viper,,
11.png,11_650.png,未知装备,650,0.9967337706099908
12.png,12_woodspear_415.png,woodspear,415,0.9901575328020191
13.png,13_325.png,未知装备,325,0.9999168689475403
14.png,14_300.png,未知装备,300,0.9992277189527038
15.png,15_270.png,未知装备,270,0.9994693196979577
16.png,16_500.png,未知装备,500,0.9993619739612982
17.png,17_330.png,未知装备,330,0.9995710738906518
18.png,18_winterplate_315.png,winterplate,315,0.9583391337707807
19.png,19_275.png,未知装备,275,0.9998207585592646
20.png,20_wanderercloak_270.png,wanderercloak,270,0.9994693196979577
21.png,21_399.png,未知装备,399,0.9999041174830237
22.png,22_900.png,未知装备,900,0.9999736416152009
23.png,23_wild_240.png,wild,240,0.9995002973907344
24.png,24_230.png,未知装备,230,0.8651185267876796
25.png,25_valentinestaff_400.png,valentinestaff,400,0.8577602926219582
26.png,26_265.png,未知装备,265,0.9970088957738169
27.png,27_249.png,未知装备,249,0.9322133756425465
28.png,28_888.png,未知装备,888,0.6033796340926466
29.png,29_walrus_230.png,walrus,230,0.8651185267876796
30.png,30_205.png,未知装备,205,0.9164673623746322
